,Latitude,Longitude,Velocidade,Orientação
105,-30.022994666666904,-51.220889736962505,50,67
106,-30.022116987358558,-51.219817397262815,35,67
107,-30.021912081683457,-51.21956126516894,31,45
108,-30.021912081683457,-51.21956126516894,31,45
109,-30.021741326954206,-51.21930171798048,25,67
110,-30.02152617599535,-51.218949963238224,11,67
111,-30.0214920250495,-51.218895321724865,2,45
112,-30.0214920250495,-51.218895321724865,2,45
113,-30.02147153448199,-51.21888507644111,0,45
114,-30.02147153448199,-51.21888507644111,0,45
115,-30.02147153448199,-51.21888507644111,0,45
116,-30.02147153448199,-51.21888507644111,0,45
117,-30.02147153448199,-51.21888507644111,0,45
118,-30.02147153448199,-51.21887483115735,4,45
119,-30.02147153448199,-51.21887483115735,4,45
120,-30.021461289198236,-51.218799699076484,6,67
121,-30.021365666549855,-51.218208887713274,40,67
122,-30.02089096840254,-51.21749854803959,43,45
123,-30.02089096840254,-51.21749854803959,43,45
124,-30.02089096840254,-51.21749854803959,43,45
125,-30.019531760757708,-51.21632034040777,66,22
126,-30.019531760757708,-51.21632034040777,66,22
127,-30.018896553164897,-51.21600956680053,68,22
128,-30.01828525123418,-51.2156748875312,68,22
129,-30.017052402088993,-51.215043095032975,68,22
130,-30.017052402088993,-51.215043095032975,68,22
131,-30.016406949212428,-51.21471183085823,73,22
132,-30.014979439675894,-51.213970755333285,82,22
133,-30.014979439675894,-51.213970755333285,82,22
134,-30.014217873583437,-51.21356094398308,85,22
135,-30.013435816923472,-51.213144302443716,88,22
136,-30.011847797941442,-51.21229735898663,88,22
137,-30.011847797941442,-51.21229735898663,88,22
138,-30.011847797941442,-51.21229735898663,88,22
139,-30.009477722299447,-51.211050849463106,82,22
140,-30.009477722299447,-51.211050849463106,82,22
141,-30.008781043004106,-51.21068884943709,71,22
142,-30.007619910845204,-51.21009803807389,56,22
143,-30.007619910845204,-51.21009803807389,56,22
144,-30.007138382508717,-51.20984873616918,50,22
145,-30.007138382508717,-51.20984873616918,50,22
146,-30.00605579752527,-51.20940135877854,27,22
147,-30.00583040128266,-51.20932622669768,19,22
148,-30.00583040128266,-51.20932622669768,19,22
149,-30.005581099377956,-51.20926133990056,7,22
150,-30.005581099377956,-51.2092510946168,0,22
151,-30.005581099377956,-51.2092510946168,0,22
152,-30.005581099377956,-51.2092510946168,0,22
153,-30.005581099377956,-51.20926133990056,0,22
154,-30.005581099377956,-51.20926133990056,0,22
155,-30.00547523144582,-51.20915205687384,15,22
156,-30.00547523144582,-51.20915205687384,15,22
157,-30.004939061595977,-51.208950566293325,37,22
158,-30.004939061595977,-51.208950566293325,37,22
159,-30.00451900496202,-51.20878664175324,48,22
160,-30.004037476625534,-51.20862613230775,48,22
161,-30.004037476625534,-51.20862613230775,48,22
162,-30.00311540108758,-51.208305113416756,48,22
163,-30.002654363318605,-51.20816509453877,47,22
164,-30.001752778348163,-51.20785432093154,45,22
165,-30.001322476430452,-51.20771430205355,43,22
166,-30.001322476430452,-51.20771430205355,43,22
167,-30.000926325458593,-51.20757428317557,42,22
168,-30.000926325458593,-51.20757428317557,42,22
169,-30.00053017448673,-51.207447924675925,40,22
170,-29.99977885367803,-51.20718837748746,39,22
171,-29.99906851400435,-51.20691175482607,37,22
172,-29.99874749511336,-51.20668635858347,39,45
173,-29.99874749511336,-51.20668635858347,39,45
174,-29.998320608290232,-51.20607505665275,33,45
175,-29.998170344128493,-51.20573013209967,37,67
176,-29.998170344128493,-51.20573013209967,37,67
177,-29.998061061101772,-51.20527933961444,35,67
178,-29.998061061101772,-51.20527933961444,35,67
179,-29.99793128750754,-51.20487294335883,39,67
180,-29.99761026861655,-51.20401233952341,43,67
181,-29.997524891251928,-51.20299464133707,47,90
182,-29.997504400684416,-51.20244822620347,48,90
183,-29.997504400684416,-51.20244822620347,48,90
184,-29.997470249738566,-51.20187790540778,50,90
185,-29.997429268603547,-51.20069969777595,52,90
186,-29.997429268603547,-51.20069969777595,52,90
187,-29.997395117657696,-51.200088395845235,56,90
188,-29.997395117657696,-51.200088395845235,56,90
189,-29.99728924972556,-51.198274980620596,39,90
190,-29.99726875915805,-51.19786516927039,33,90
191,-29.99726875915805,-51.19786516927039,33,90
192,-29.997258513874296,-51.197223131488414,24,90
193,-29.997258513874296,-51.197223131488414,24,90
194,-29.9972346082122,-51.19696358429995,18,90
195,-29.9972346082122,-51.196792829570704,10,90
196,-29.997203872360934,-51.196642565408965,0,90
197,-29.99719362707718,-51.196642565408965,0,90
198,-29.99719362707718,-51.196642565408965,0,90
199,-29.99719362707718,-51.196642565408965,0,90
200,-29.99719362707718,-51.196642565408965,0,90
201,-29.99719362707718,-51.196642565408965,0,90
202,-29.99719362707718,-51.196642565408965,0,90
203,-29.99719362707718,-51.196642565408965,0,90
204,-29.99719362707718,-51.196642565408965,0,90
205,-29.99719362707718,-51.196642565408965,0,90
206,-29.99719362707718,-51.196642565408965,0,90
207,-29.99719362707718,-51.196642565408965,0,90
208,-29.99719362707718,-51.196642565408965,0,90
209,-29.99719362707718,-51.196642565408965,0,90
210,-29.997203872360934,-51.196577678611845,12,90
211,-29.997203872360934,-51.196577678611845,12,90
212,-29.99719362707718,-51.19632154651797,26,90
213,-29.997203872360934,-51.195935640829866,39,90
214,-29.99719362707718,-51.1947437728197,63,90
215,-29.99715947613133,-51.19397196144349,68,90
216,-29.99715947613133,-51.19397196144349,68,90
217,-29.997128740280065,-51.19318990478352,68,90
218,-29.996869193091605,-51.191687263166116,66,67
219,-29.996869193091605,-51.191687263166116,66,67
220,-29.996623306281485,-51.190976923492435,68,67
221,-29.996281796822984,-51.1903246404267,68,67
222,-29.996281796822984,-51.1903246404267,68,67
223,-29.995294834487918,-51.18930352714578,68,45
224,-29.994768909921827,-51.18881175352554,68,45
225,-29.993696570222134,-51.18779064024463,66,45
226,-29.993696570222134,-51.18779064024463,66,45
227,-29.993696570222134,-51.18779064024463,66,45
228,-29.992258815401847,-51.186387036370185,66,45
229,-29.992258815401847,-51.186387036370185,66,45
230,-29.991753381403264,-51.18591575331746,66,45
231,-29.99123770212093,-51.185430809886384,68,45
232,-29.990155117137483,-51.18443360226756,71,45
